Player2,Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Position
A.JONES,Aaron Jones,GB,,,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
A.RODGERS,Aaron Rodgers,GB,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
A.HUMPHRIES,Adam Humphries,TB,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
A.THIELEN,Adam Thielen,MIN,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
A.GREEN,AJ Green,CIN,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
A.MCCARRON,AJ McCarron,BUF,QB1,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
A.WILSON,Albert Wilson,MIA,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
A.COLLINS,Alex Collins,BAL,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
A.SMITH,Alex Smith,WAS,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
A.BLUE,Alfred Blue,HOU,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
A.HURNS,Allen Hurns,DAL,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
A.ROBINSON,Allen Robinson,CHI,WR1,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
A.JEFFERY,Alshon Jeffery,PHI,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
A.KAMARA,Alvin Kamara,NO,RB1,RB1,RB1,RB1,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
A.COOPER,Amari Cooper,OAK,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
A.HOLMES,Andre Holmes,BUF,WR4,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
A.LUCK,Andrew Luck,IND,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
A.DALTON,Andy Dalton,CIN,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
A.JONES,Andy Jones,DET,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
A.BROWN,Antonio Brown,PIT,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
A.EKELER,Austin Ekeler,LAC,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
A.HOOPER,Austin Hooper,ATL,TE1,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
A.SEFERIAN-JENKINS,Austin Seferian-Jenkins,JAC,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
A.TRAYLOR,Austin Traylor,DEN,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
B.ROETHLISBERGER,Ben Roethlisberger,PIT,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
B.WATSON,Ben Watson,NO,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
B.CUNNINGHAM,Benny Cunningham,CHI,RB3,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
B.POWELL,Bilal Powell,NYJ,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
B.BORTLES,Blake Bortles,JAC,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
B.JARWIN,Blake Jarwin,DAL,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
B.COOKS,Brandin Cooks,LAR,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
B.COLEMAN,Brandon Coleman,NO,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
B.LAFELL,Brandon LaFell,CIN,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
B.MARSHALL,Brandon Marshall,SEA,WR2,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
B.MILLER,Braxton Miller,HOU,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
B.BUTLER,Brice Butler,ARI,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
B.ELLINGTON,Bruce Ellington,HOU,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
B.ALLEN,Buck Allen,BAL,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.RIDLEY,Calvin Ridley,ATL,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.NEWTON,Cam Newton,CAR,QB1,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
C.ARTIS-PAYNE,Cameron Artis-Payne,CAR,RB3,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.BRATE,Cameron Brate,TB,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
C.MEREDITH,Cameron Meredith,NO,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.HENDERSON,Carlos Henderson,DEN,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
C.HYDE,Carlos Hyde,CLE,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
C.WENTZ,Carson Wentz,PHI,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
C.KEENUM,Case Keenum,DEN,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
C.WEST,Charcandrick West,KC,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.CLAY,Charles Clay,BUF,TE1,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
C.SIMS,Charles Sims,TB,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.EDMONDS,Chase Edmonds,ARI,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.ROGERS,Chester Rogers,IND,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
C.CARSON,Chris Carson,SEA,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.CONLEY,Chris Conley,KC,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.GODWIN,Chris Godwin,TB,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
C.HOGAN,Chris Hogan,NE,WR1,WR1,WR1,WR1,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
C.IVORY,Chris Ivory,BUF,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.MANHERTZ,Chris Manhertz,CAR,TE2,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
C.THOMPSON,Chris Thompson,WAS,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.KIRK,Christian Kirk,ARI,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
C.MCCAFFREY,Christian McCaffrey,CAR,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
C.ANDERSON,CJ Anderson,CAR,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.PROSISE,CJ Prosise,SEA,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.WALFORD,Clive Walford,NYJ,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
C.LATIMER,Cody Latimer,NYG,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
C.BEASLEY,Cole Beasley,DAL,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.KUPP,Cooper Kupp,LAR,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.PATTERSON,Cordarrelle Patterson,NE,WR3,WR3,WR3,WR3,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
C.CLEMENT,Corey Clement,PHI,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.COLEMAN,Corey Coleman,CLE,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.DAVIS,Corey Davis,TEN,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
C.GRANT,Corey Grant,JAC,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.SUTTON,Courtland Sutton,DEN,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
D.PRESCOTT,Dak Prescott,DAL,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
D.GOEDERT,Dallas Goedert,PHI,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
D.COOK,Dalvin Cook,MIN,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.AMENDOLA,Danny Amendola,MIA,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.PETTIS,Dante Pettis,SF,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.FELLS,Darren Fells,CLE,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
D.SPROLES,Darren Sproles,PHI,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
D.HEYWARD-BEY,Darrius Heyward-Bey,PIT,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.FOUNTAIN,Daurice Fountain,IND,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.ADAMS,Davante Adams,GB,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.FLUELLEN,David Fluellen,TEN,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
D.JOHNSON,David Johnson,ARI,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.MORGAN,David Morgan,MIN,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
D.NJOKU,David Njoku,CLE,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
D.HOPKINS,DeAndre Hopkins,HOU,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.WASHINGTON,DeAndre Washington,OAK,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
D.HENDERSON,De'Angelo Henderson,DEN,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
D.YANCEY,DeAngelo Yancey,GB,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.WESTBROOK,Dede Westbrook,JAC,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
D.WALKER,Delanie Walker,TEN,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
D.ROBINSON,Demarcus Robinson,KC,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.THOMAS,Demaryius Thomas,DEN,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.HARRIS,Demetrius Harris,KC,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
D.CARR,Derek Carr,OAK,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
D.HENRY,Derrick Henry,TEN,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
D.GUICE,Derrius Guice,WAS,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.JACKSON,DeSean Jackson,TB,WR2,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
D.WATSON,Deshaun Watson,HOU,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
D.PARKER,DeVante Parker,MIA,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.FUNCHESS,Devin Funchess,CAR,WR1,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.FREEMAN,Devonta Freeman,ATL,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.BOOKER,Devontae Booker,DEN,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
