Team,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ATL,8,PHI,CAR,NO,CIN,PIT,TB,NYG,,WAS,CLE,DAL,NO,BAL,GB,ARI,CAR,TB,Away,Home,Home,Home,Away,Home,Home,,Away,Away,Home,Away,Home,Away,Home,Away,Away
PIT,7,CLE,KC,TB,BAL,ATL,CIN,,CLE,BAL,CAR,JAC,DEN,LAC,OAK,NE,NO,CIN,Away,Home,Away,Home,Home,Away,,Home,Away,Home,Away,Away,Home,Away,Home,Away,Home
CIN,9,IND,BAL,CAR,ATL,MIA,PIT,KC,TB,,NO,BAL,CLE,DEN,LAC,OAK,CLE,PIT,Away,Home,Away,Away,Home,Home,Away,Home,,Home,Away,Home,Home,Away,Home,Away,Away
TEN,8,MIA,HOU,JAC,PHI,BUF,BAL,LAC,,DAL,NE,IND,HOU,NYJ,JAC,NYG,WAS,IND,Away,Home,Away,Home,Away,Home,Away,,Away,Home,Away,Away,Home,Home,Away,Home,Home
SF,11,MIN,DET,KC,LAC,ARI,GB,LAR,ARI,OAK,NYG,,TB,SEA,DEN,SEA,CHI,LAR,Away,Home,Away,Away,Home,Away,Home,Away,Home,Home,,Away,Away,Home,Home,Home,Away
TB,5,NO,PHI,PIT,CHI,,ATL,CLE,CIN,CAR,WAS,NYG,SF,CAR,NO,BAL,DAL,ATL,Away,Home,Home,Away,,Away,Home,Away,Away,Home,Away,Home,Home,Home,Away,Away,Home
HOU,10,NE,TEN,NYG,IND,DAL,BUF,JAC,MIA,DEN,,WAS,TEN,CLE,IND,NYJ,PHI,JAC,Away,Away,Home,Away,Home,Home,Away,Home,Away,,Away,Home,Home,Home,Away,Away,Home
JAC,9,NYG,NE,TEN,NYJ,KC,DAL,HOU,PHI,,IND,PIT,BUF,IND,TEN,WAS,MIA,HOU,Away,Home,Home,Home,Away,Away,Home,Home,,Away,Home,Away,Home,Away,Home,Away,Away
BUF,11,BAL,LAC,MIN,GB,TEN,HOU,IND,NE,CHI,NYJ,,JAC,MIA,NYJ,DET,NE,MIA,Away,Home,Away,Away,Home,Away,Away,Home,Home,Away,,Home,Away,Home,Home,Away,Home
KC,12,LAC,PIT,SF,DEN,JAC,NE,CIN,DEN,CLE,ARI,LAR,,OAK,BAL,LAC,SEA,OAK,Away,Away,Home,Away,Home,Away,Home,Home,Away,Home,Away,,Away,Home,Home,Away,Home
DAL,8,CAR,NYG,SEA,DET,HOU,JAC,WAS,,TEN,PHI,ATL,WAS,NO,PHI,IND,TB,NYG,Away,Home,Away,Home,Away,Home,Away,,Home,Away,Away,Home,Home,Home,Away,Home,Away
WAS,4,ARI,IND,GB,,NO,CAR,DAL,NYG,ATL,TB,HOU,DAL,PHI,NYG,JAC,TEN,PHI,Away,Home,Home,,Away,Home,Home,Away,Home,Away,Home,Away,Away,Home,Away,Away,Home
SEA,7,DEN,CHI,DAL,ARI,LAR,OAK,,DET,LAC,LAR,GB,CAR,SF,MIN,SF,KC,ARI,Away,Away,Home,Away,Home,Away,,Away,Home,Away,Home,Away,Home,Home,Away,Home,Home
CHI,5,GB,SEA,ARI,TB,,MIA,NE,NYJ,BUF,DET,MIN,DET,NYG,LAR,GB,SF,MIN,Away,Home,Away,Home,,Away,Home,Home,Away,Home,Home,Away,Away,Home,Home,Away,Away
NYJ,11,DET,MIA,CLE,JAC,DEN,IND,MIN,CHI,MIA,BUF,,NE,TEN,BUF,HOU,GB,NE,Away,Home,Away,Away,Home,Home,Home,Away,Away,Home,,Home,Away,Away,Home,Home,Away
LAR,12,OAK,ARI,LAC,MIN,SEA,DEN,SF,GB,NO,SEA,KC,,DET,CHI,PHI,ARI,SF,Away,Home,Home,Home,Away,Away,Away,Home,Away,Home,Home,,Away,Away,Home,Away,Home
PHI,9,ATL,TB,IND,TEN,MIN,NYG,CAR,JAC,,DAL,NO,NYG,WAS,DAL,LAR,HOU,WAS,Home,Away,Home,Away,Home,Away,Home,Away,,Home,Away,Home,Home,Away,Away,Home,Away
CLE,11,PIT,NO,NYJ,OAK,BAL,LAC,TB,PIT,KC,ATL,,CIN,HOU,CAR,DEN,CIN,BAL,Home,Away,Home,Away,Home,Home,Away,Away,Home,Home,,Away,Away,Home,Away,Home,Away
IND,9,CIN,WAS,PHI,HOU,NE,NYJ,BUF,OAK,,JAC,TEN,MIA,JAC,HOU,DAL,NYG,TEN,Home,Away,Away,Home,Away,Away,Home,Away,,Home,Home,Home,Away,Away,Home,Home,Away
MIA,11,TEN,NYJ,OAK,NE,CIN,CHI,DET,HOU,NYJ,GB,,IND,BUF,NE,MIN,JAC,BUF,Home,Away,Home,Away,Away,Home,Home,Away,Home,Away,,Away,Home,Home,Away,Home,Away
MIN,10,SF,GB,BUF,LAR,PHI,ARI,NYJ,NO,DET,,CHI,GB,NE,SEA,MIA,DET,CHI,Home,Away,Home,Away,Away,Home,Away,Home,Home,,Away,Home,Away,Away,Home,Away,Home
NO,6,TB,CLE,ATL,NYG,WAS,,BAL,MIN,LAR,CIN,PHI,ATL,DAL,TB,CAR,PIT,CAR,Home,Home,Away,Away,Home,,Away,Away,Home,Away,Home,Home,Away,Away,Away,Home,Home
NE,11,HOU,JAC,DET,MIA,IND,KC,CHI,BUF,GB,TEN,,NYJ,MIN,MIA,PIT,BUF,NYJ,Home,Away,Away,Home,Home,Home,Away,Away,Home,Away,,Away,Home,Away,Away,Home,Home
NYG,9,JAC,DAL,HOU,NO,CAR,PHI,ATL,WAS,,SF,TB,PHI,CHI,WAS,TEN,IND,DAL,Home,Away,Away,Home,Away,Home,Away,Home,,Away,Home,Away,Home,Away,Home,Away,Home
BAL,10,BUF,CIN,DEN,PIT,CLE,TEN,NO,CAR,PIT,,CIN,OAK,ATL,KC,TB,LAC,CLE,Home,Away,Home,Away,Away,Away,Home,Away,Home,,Home,Home,Away,Away,Home,Away,Home
LAC,8,KC,BUF,LAR,SF,OAK,CLE,TEN,,SEA,OAK,DEN,ARI,PIT,CIN,KC,BAL,DEN,Home,Away,Away,Home,Home,Away,Home,,Away,Away,Home,Home,Away,Home,Away,Home,Away
CAR,4,DAL,ATL,CIN,,NYG,WAS,PHI,BAL,TB,PIT,DET,SEA,TB,CLE,NO,ATL,NO,Home,Away,Home,,Home,Away,Away,Home,Home,Away,Away,Home,Away,Away,Home,Home,Away
ARI,9,WAS,LAR,CHI,SEA,SF,MIN,DEN,SF,,KC,OAK,LAC,GB,DET,ATL,LAR,SEA,Home,Away,Home,Home,Away,Away,Home,Home,,Away,Home,Away,Away,Home,Away,Home,Away
DEN,10,SEA,OAK,BAL,KC,NYJ,LAR,ARI,KC,HOU,,LAC,PIT,CIN,SF,CLE,OAK,LAC,Home,Home,Away,Home,Away,Home,Away,Away,Home,,Away,Home,Away,Away,Home,Away,Home
GB,7,CHI,MIN,WAS,BUF,DET,SF,,LAR,NE,MIA,SEA,MIN,ARI,ATL,CHI,NYJ,DET,Home,Home,Away,Home,Away,Home,,Away,Away,Home,Away,Away,Home,Home,Away,Away,Home
DET,6,NYJ,SF,NE,DAL,GB,,MIA,SEA,MIN,CHI,CAR,CHI,LAR,ARI,BUF,MIN,GB,Home,Away,Home,Away,Home,,Away,Home,Away,Away,Home,Home,Home,Away,Away,Home,Away
OAK,7,LAR,DEN,MIA,CLE,LAC,SEA,,IND,SF,LAC,ARI,BAL,KC,PIT,CIN,DEN,KC,Home,Away,Away,Home,Away,Home,,Home,Away,Home,Away,Away,Home,Home,Away,Home,Away
